PBR: Downside:0.4326617179215270413573700954M Upside:6.4231177094379639448568398727M RR:14.845588235294117647058823529M
RFOX: Downside:0.4960380348652931854199683043M Upside:6.3988378235604860010565240359M RR:12.899893503727369542066027689M
JOE: Downside:0.303125M Upside:6.3333333333333333333333333333M RR:20.893470790378006872852233677M
BASIC: Downside:0.3856402664692820133234641007M Upside:6.3205033308660251665433012583M RR:16.389635316698656429942418426M
NEAR: Downside:0.4809917355371900826446280992M Upside:6.2528925619834710743801652893M RR:13M
RUNE: Downside:0.3989516598718695398951659872M Upside:6.1997670355270821199767035527M RR:15.54014598540145985401459854M
KNC: Downside:0.4116129032258064516129032258M Upside:6.178064516129032258064516129M RR:15.009404388714733542319749216M
FLOW: Downside:0.4009174311926605504587155963M Upside:6.1559633027522935779816513761M RR:15.354691075514874141876430206M
WOOP: Downside:0.5033066481030281935259310825M Upside:6.0911938739993038635572572224M RR:12.102351313969571230982019364M
GMT: Downside:0.9815464107768961062926739251M Upside:6.0555822107399889278464661377M RR:6.1694303440496333897349125776M
CELO: Downside:0.3997134670487106017191977077M Upside:5.995702005730659025787965616M RR:15M
BUY: Downside:0.3454097784030953218431234611M Upside:5.9820612029546253957087583539M RR:17.318737270875763747454175153M
URUS: Downside:0.5487771861745329843876906416M Upside:5.9037090515296453388683331829M RR:10.757934550238447623746094392M
BNT: Downside:0.2053789731051344743276283619M Upside:5.8484107579462102689486552567M RR:28.476190476190476190476190476M
TRU: Downside:0.2576177285318559556786703601M Upside:5.8171745152354570637119113573M RR:22.58064516129032258064516129M
XED: Downside:0.4761149023964450087287732106M Upside:5.7925726075226154578638311379M RR:12.166333333333333333333333333M
AGLD: Downside:0.3237179487179487179487179487M Upside:5.7628205128205128205128205128M RR:17.801980198019801980198019802M
IHC: Downside:0.1387559808612440191387559809M Upside:5.7623604465709728867623604466M RR:41.528735632183908045977011494M
BNC: Downside:0.7344887348353552859618717504M Upside:5.7417677642980935875216637782M RR:7.8173666823973572439830108542M
XPRT: Downside:0.2854899497487437185929648241M Upside:5.7305276381909547738693467337M RR:20.072607260726072607260726073M
SWFTC: Downside:0.4520208281676171584428465162M Upside:5.6121167038598231258781717497M RR:12.415615286158347046992137502M
SCLP: Downside:0.2440159574468085106382978723M Upside:5.5910904255319148936170212766M RR:22.912806539509536784741144414M
DFYN: Downside:0.4638069705093833780160857909M Upside:5.5498957402442657134346142389M RR:11.965960179833012202954399486M
METIS: Downside:0.4709653092006033182503770739M Upside:5.5475113122171945701357466063M RR:11.779023218574859887910328263M
CFX: Downside:0.2833876221498371335504885993M Upside:5.5374592833876221498371335505M RR:19.540229885057471264367816092M
ZIL: Downside:0.4392490258590152320226709175M Upside:5.5370173574211831385051363797M RR:12.60564516129032258064516129M
CRPT: Downside:0.5992647058823529411764705882M Upside:5.5352434077079107505070993915M RR:9.236725195684366405754178126M
ORBS: Downside:0.3102378490175801447776628749M Upside:5.5063771113409169251982075147M RR:17.748888888888888888888888889M
BETA: Downside:0.3419806000451161741484322129M Upside:5.4763140085720730882021204602M RR:16.013522427440633245382585752M
AUDIO: Downside:0.5424788525193085693269584406M Upside:5.3920559029054799558661272527M RR:9.939661016949152542372881356M
OGN: Downside:0.3573667711598746081504702194M Upside:5.3840125391849529780564263323M RR:15.065789473684210526315789474M
ASTR: Downside:0.2892561983471074380165289256M Upside:5.3760330578512396694214876033M RR:18.585714285714285714285714286M
AXS: Downside:0.4685004436557231588287488909M Upside:5.348713398402839396628216504M RR:11.416666666666666666666666667M
KDA: Downside:0.325619834710743801652892562M Upside:5.2958677685950413223140495868M RR:16.263959390862944162436548223M
SDAO: Downside:0.5279642058165548098434004474M Upside:5.2895493767976989453499520614M RR:10.018765133171912832929782082M
CRO: Downside:0.3144708961735011840957247912M Upside:5.2595039262121400972204910881M RR:16.724930638129211256440745145M
HIGH: Downside:0.3163346613545816733067729084M Upside:5.2390438247011952191235059761M RR:16.561712846347607052896725441M
HYDRA: Downside:0.2482517482517482517482517483M Upside:5.1958041958041958041958041958M RR:20.929577464788732394366197183M
BEAM: Downside:0.0410958904109589041095890411M Upside:5.1506849315068493150684931507M RR:125.33333333333333333333333333M
WILD: Downside:0.5436081242532855436081242533M Upside:5.1469534050179211469534050179M RR:9.468131868131868131868131868M
MBL: Downside:0.3450528935905413814561294337M Upside:5.1281891723708774113254511512M RR:14.862037871956717763751127142M
REN: Downside:0.3213163269049686326782678879M Upside:5.063125970674917148692111088M RR:15.757450047573739295908658421M
KLAY: Downside:0.3474827245804540967423494571M Upside:5.046396841066140177690029615M RR:14.522727272727272727272727273M
RARE: Downside:0.2866242038216560509554140127M Upside:5.027070063694267515923566879M RR:17.538888888888888888888888889M
SXP: Downside:0.3100175746924428822495606327M Upside:4.9859402460456942003514938489M RR:16.082766439909297052154195011M
AMP: Downside:0.3672199170124481327800829876M Upside:4.9792531120331950207468879668M RR:13.559322033898305084745762712M
CERE: Downside:0.3830977620730270906949352179M Upside:4.9776207302709069493521790342M RR:12.993082244427363566487317448M
NEER: Downside:0.2746748278500382555470543229M Upside:4.9682478959449120122417750574M RR:18.08774373259052924791086351M
KSM: Downside:0.3372676305694895249336087341M Upside:4.9545588669223959870168191207M RR:14.690288713910761154855643045M
VEGA: Downside:0.3409490333919156414762741652M Upside:4.9409490333919156414762741652M RR:14.491752577319587628865979381M
KRL: Downside:0.2440865789644222668654008165M Upside:4.8970902728274253126822629771M RR:20.062923138191955396256471525M
ROSE: Downside:0.3550531914893617021276595745M Upside:4.8738601823708206686930091185M RR:13.727126805778491171749598716M
EPX: Downside:0.2571428571428571428571428571M Upside:4.8545454545454545454545454545M RR:18.878787878787878787878787879M
SOL: Downside:0.5878580589995724668661821291M Upside:4.852928601966652415562206071M RR:8.255272727272727272727272727M
MINA: Downside:0.2702702702702702702702702703M Upside:4.8496621621621621621621621622M RR:17.94375M
UOS: Downside:0.2925625229488800946513810126M Upside:4.8381950960793113296071151728M RR:16.537303026077255612885232185M
GTO: Downside:0.1275430359937402190923317684M Upside:4.7660406885758998435054773083M RR:37.368098159509202453987730061M
ARRR: Downside:0.2809724170172978027115474521M Upside:4.6863020102851799906498363721M RR:16.678868552412645590682196339M
DIVI: Downside:0.2684049079754601226993865031M Upside:4.6832822085889570552147239264M RR:17.448571428571428571428571429M
WING: Downside:0.6778523489932885906040268456M Upside:4.6778523489932885906040268456M RR:6.900990099009900990099009901M
